ticker,name_type,phi_63,phibar_63,status_book,n_advisers,crds,adviser_names,text_paths,coverage
DFIC,equity_longonly,0.9737,0.9836,active,3,107472;107621;106482,Dimensional Fund Advisors Ltd. | DFA Australia Limited | Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFIV,equity_longonly,0.9812,0.9887,active,3,107472;107621;106482,Dimensional Fund Advisors Ltd. | DFA Australia Limited | Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFLV,equity_longonly,0.9732,0.9865,active,1,106482,Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFNL,equity_longonly,0.9889,0.9944,active,2,108674;106659,"Davis Selected Advisers, L.P. | Davis Selected Advisers - NY, Inc.",adv_data/brochures/108674/text.txt;adv_data/brochures/106659/text.txt,on_disk
DFSE,equity_longonly,0.9811,0.9906,active,1,106482,Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFSI,equity_longonly,0.9611,0.9784,active,3,107472;107621;106482,Dimensional Fund Advisors Ltd. | DFA Australia Limited | Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFSU,equity_longonly,0.9909,0.9954,active,1,106482,Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFSV,equity_longonly,0.9522,0.9769,active,1,106482,Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFUS,equity_longonly,0.9926,0.9962,active,1,106482,Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DFUV,equity_longonly,0.9756,0.9878,active,1,106482,Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
